match_id,match_no,stage,date,team_a,team_b,goals_a,goals_b,label,status,event_id,custom_id,slug,sofascore_name,sofascore_date_utc,sofascore_score,orientation,search_score,matched_query,tried_queries,error
GD-36,,Group Stage,2026-06-19,Paraguay,Turkiye,1,0,Paraguay 1-0 Turkiye,matched,15186879,aUbsOVb,paraguay-turkiye,Türkiye - Paraguay,2026-06-20,0-1,reversed,527.9781,Turkiye Paraguay,Paraguay Turkiye | Turkiye Paraguay | Paraguay Türkiye | Türkiye Paraguay | Paraguay Turkey | Turkey Paraguay | Paraguay Türkiye World Championship,
GE-37,,Group Stage,2026-06-20,Germany,Cote d'Ivoire,2,1,Germany 2-1 Cote d'Ivoire,matched,15186905,lUbstVb,cote-divoire-germany,Germany - Côte d'Ivoire,2026-06-20,2-1,same,544.032,Germany Cote d'Ivoire,Germany Cote d'Ivoire | Cote d'Ivoire Germany | Germany Côte d'Ivoire | Côte d'Ivoire Germany | Germany Côte d’Ivoire | Côte d’Ivoire Germany | Germany Ivory Coast | Ivory Coast Germany | Germany Cote d Ivoire | Cote d Ivoire Germany | Germany Côte d'Ivoire World Championship,
GE-38,,Group Stage,2026-06-20,Ecuador,Curacao,0,0,Ecuador 0-0 Curacao,matched,15186906,hVbsCqx,curacao-ecuador,Ecuador - Curaçao,2026-06-21,0-0,same,512.1535,Ecuador Curacao,Ecuador Curacao | Curacao Ecuador | Ecuador Curaçao | Curaçao Ecuador | Ecuador Curacao World Championship,
GF-39,,Group Stage,2026-06-20,Netherlands,Sweden,5,1,Netherlands 5-1 Sweden,matched,15186957,NTbsfUb,netherlands-sweden,Netherlands - Sweden,2026-06-20,5-1,same,519.4684,Netherlands Sweden,Netherlands Sweden | Sweden Netherlands | Netherlands Sweden World Championship,
GF-40,,Group Stage,2026-06-21,Tunisia,Japan,0,4,Tunisia 0-4 Japan,matched,15186963,EUbsvVb,japan-tunisia,Tunisia - Japan,2026-06-21,0-4,same,515.4858,Tunisia Japan,Tunisia Japan | Japan Tunisia | Tunisia Japan World Championship,
GG-41,,Group Stage,2026-06-21,Belgium,Iran,0,0,Belgium 0-0 Iran,matched,15186499,rUbsqVb,iran-belgium,Belgium - Iran,2026-06-21,0-0,same,516.0361,Belgium Iran,Belgium Iran | Iran Belgium | Belgium Iran World Championship,
GH-42,,Group Stage,2026-06-21,Spain,Saudi Arabia,4,0,Spain 4-0 Saudi Arabia,matched,15186840,YTbsJWb,saudi-arabia-spain,Spain - Saudi Arabia,2026-06-21,4-0,same,574.8308,Spain Saudi Arabia,Spain Saudi Arabia | Saudi Arabia Spain | Spain Saudi Arabia World Championship,
GH-43,,Group Stage,2026-06-21,Uruguay,Cabo Verde,2,2,Uruguay 2-2 Cabo Verde,matched,15186800,AUbsdVb,cabo-verde-uruguay,Uruguay - Cabo Verde,2026-06-21,2-2,same,505.891,Uruguay Cabo Verde,Uruguay Cabo Verde | Cabo Verde Uruguay | Uruguay Cape Verde | Cape Verde Uruguay | Uruguay Cape Verde World Championship,
GI-44,,Group Stage,2026-06-22,Norway,Senegal,3,2,Norway 3-2 Senegal,matched,15186770,AObsOUb,senegal-norway,Norway - Senegal,2026-06-23,3-2,same,539.21,Norway Senegal,Norway Senegal | Senegal Norway | Norway Senegal World Championship,
GG-45,,Group Stage,2026-06-21,New Zealand,Egypt,1,3,New Zealand 1-3 Egypt,matched,15186827,iVbsJVb,new-zealand-egypt,New Zealand - Egypt,2026-06-22,1-3,same,530.2665,New Zealand Egypt,New Zealand Egypt | Egypt New Zealand | New Zealand Egypt World Championship,
GI-46,,Group Stage,2026-06-22,France,Iraq,3,0,France 3-0 Iraq,matched,15186769,GObsrVb,iraq-france,France - Iraq,2026-06-22,3-0,same,557.6408,France Iraq,France Iraq | Iraq France | France Iraq World Championship,
GJ-47,,Group Stage,2026-06-22,Argentina,Austria,2,0,Argentina 2-0 Austria,matched,15186502,tUbsuWb,argentina-austria,Argentina - Austria,2026-06-22,2-0,same,578.0527,Argentina Austria,Argentina Austria | Austria Argentina | Argentina Austria World Championship,
GJ-48,,Group Stage,2026-06-22,Jordan,Algeria,1,2,Jordan 1-2 Algeria,matched,15186740,QTbswVb,jordan-algeria,Jordan - Algeria,2026-06-23,1-2,same,524.3702,Jordan Algeria,Jordan Algeria | Algeria Jordan | Jordan Algeria World Championship,
GB-49,,Group Stage,2026-06-24,Switzerland,Canada,2,1,Switzerland 2-1 Canada,matched,15186821,ZTbscVb,canada-switzerland,Switzerland - Canada,2026-06-24,2-1,same,510.7274,Switzerland Canada,Switzerland Canada | Canada Switzerland | Switzerland Canada World Championship,
GB-50,,Group Stage,2026-06-24,Bosnia and Herzegovina,Qatar,3,1,Bosnia and Herzegovina 3-1 Qatar,matched,15186829,EObsRVb,qatar-bosnia-and-herzegovina,Bosnia & Herzegovina - Qatar,2026-06-24,3-1,same,507.2818,Bosnia & Herzegovina Qatar,Bosnia and Herzegovina Qatar | Qatar Bosnia and Herzegovina | Bosnia & Herzegovina Qatar | Qatar Bosnia & Herzegovina | Bosnia Herzegovina Qatar | Qatar Bosnia Herzegovina | Bosnia & Herzegovina Qatar World Championship,
GC-51,,Group Stage,2026-06-24,Morocco,Haiti,4,2,Morocco 4-2 Haiti,matched,15186864,DVbsEUc,haiti-morocco,Morocco - Haiti,2026-06-24,4-2,same,549.7603,Morocco Haiti,Morocco Haiti | Haiti Morocco | Morocco Haiti World Championship,
GC-52,,Group Stage,2026-06-24,Brazil,Scotland,3,0,Brazil 3-0 Scotland,matched,15186861,VTbsYUb,brazil-scotland,Scotland - Brazil,2026-06-24,0-3,reversed,604.611,Scotland Brazil,Brazil Scotland | Scotland Brazil | Brazil Scotland World Championship,
GA-53,,Group Stage,2026-06-24,South Africa,Korea Republic,1,0,South Africa 1-0 Korea Republic,matched,15186744,KUbsLUb,south-africa-south-korea,South Africa - South Korea,2026-06-25,1-0,same,526.1261,South Africa South Korea,South Africa Korea Republic | Korea Republic South Africa | South Africa South Korea | South Korea South Africa | South Africa Republic of Korea | Republic of Korea South Africa | South Africa South Korea World Championship,
GA-54,,Group Stage,2026-06-24,Mexico,Czechia,3,0,Mexico 3-0 Czechia,matched,15186732,oUbsGVb,mexico-czechia,Czechia - Mexico,2026-06-25,0-3,reversed,530.6509,Czechia Mexico,Mexico Czechia | Czechia Mexico | Mexico Czech Republic | Czech Republic Mexico | Mexico Czech Republic World Championship,
GE-55,,Group Stage,2026-06-25,Cote d'Ivoire,Curacao,2,0,Cote d'Ivoire 2-0 Curacao,matched,15186908,tVbsCqx,curacao-cote-divoire,Curaçao - Côte d'Ivoire,2026-06-25,0-2,reversed,519.0301,Curacao Cote d'Ivoire,Cote d'Ivoire Curacao | Curacao Cote d'Ivoire | Cote d'Ivoire Curaçao | Curaçao Cote d'Ivoire | Côte d'Ivoire Curacao | Curacao Côte d'Ivoire | Côte d'Ivoire Curaçao | Curaçao Côte d'Ivoire | Côte d’Ivoire Curacao | Curacao Côte d’Ivoire | Côte d’Ivoire Curaçao | Curaçao Côte d’Ivoire | Ivory Coast Curacao | Curacao Ivory Coast | Ivory Coast Curaçao | Curaçao Ivory Coast | Cote d Ivoire Curacao | Curacao Cote d Ivoire | Cote d Ivoire Curaçao | Curaçao Cote d Ivoire | Côte d'Ivoire Curacao World Championship,
GE-56,,Group Stage,2026-06-25,Ecuador,Germany,2,1,Ecuador 2-1 Germany,matched,15186907,lUbshVb,ecuador-germany,Ecuador - Germany,2026-06-25,2-1,same,547.0778,Ecuador Germany,Ecuador Germany | Germany Ecuador | Ecuador Germany World Championship,
GF-57,,Group Stage,2026-06-25,Netherlands,Tunisia,3,1,Netherlands 3-1 Tunisia,matched,15186973,fUbsEUb,tunisia-netherlands,Tunisia - Netherlands,2026-06-25,1-3,reversed,530.3978,Tunisia Netherlands,Netherlands Tunisia | Tunisia Netherlands | Netherlands Tunisia World Championship,
