match_id,match_no,stage,date,team_a,team_b,goals_a,goals_b,label,status,event_id,fetch_status,lineups_rows,stat_rows,shot_rows,error
M75,75,Round of 32,2026-06-29,Netherlands,Morocco,1,1,Netherlands 1-1 Morocco,matched,12812998,ok,52,208,27,
M76,76,Round of 32,2026-06-29,Brazil,Japan,2,1,Brazil 2-1 Japan,matched,12813012,ok,51,127,24,
M77,77,Round of 32,2026-06-30,France,Sweden,3,0,France 3-0 Sweden,matched,12812995,ok,51,124,33,
M78,78,Round of 32,2026-06-30,Cote d'Ivoire,Norway,1,2,Cote d'Ivoire 1-2 Norway,matched,12812989,ok,52,127,23,
M79,79,Round of 32,2026-06-30,Mexico,Ecuador,2,0,Mexico 2-0 Ecuador,matched,12813001,ok,52,129,22,
M80,80,Round of 32,2026-07-01,England,DR Congo,2,1,England 2-1 DR Congo,matched,12813020,ok,52,129,23,
M81,81,Round of 32,2026-07-01,USA,Bosnia and Herzegovina,2,0,USA 2-0 Bosnia and Herzegovina,matched,12812992,ok,50,131,18,
M82,82,Round of 32,2026-07-01,Belgium,Senegal,3,2,Belgium 3-2 Senegal,matched,12813013,ok,50,209,38,
M83,83,Round of 32,2026-07-02,Portugal,Croatia,2,1,Portugal 2-1 Croatia,matched,12812997,ok,52,129,28,
M84,84,Round of 32,2026-07-02,Spain,Austria,3,0,Spain 3-0 Austria,matched,12813004,ok,52,126,28,
M85,85,Round of 32,2026-07-02,Switzerland,Algeria,2,0,Switzerland 2-0 Algeria,matched,12813019,ok,49,126,19,
M86,86,Round of 32,2026-07-03,Argentina,Cabo Verde,3,2,Argentina 3-2 Cabo Verde,matched,12812999,ok,52,207,39,
M87,87,Round of 32,2026-07-03,Colombia,Ghana,1,0,Colombia 1-0 Ghana,matched,12813011,ok,52,125,28,
M88,88,Round of 32,2026-07-03,Australia,Egypt,1,1,Australia 1-1 Egypt,matched,12813018,ok,47,201,39,
M89,89,Round of 16,2026-07-04,Paraguay,France,0,1,Paraguay 0-1 France,matched,12813010,ok,52,123,20,
M90,90,Round of 16,2026-07-04,Canada,Morocco,0,3,Canada 0-3 Morocco,matched,12813009,ok,51,126,15,
M91,91,Round of 16,2026-07-05,Brazil,Norway,1,2,Brazil 1-2 Norway,matched,12813006,ok,50,130,23,
M92,92,Round of 16,2026-07-05,Mexico,England,2,3,Mexico 2-3 England,matched,12813007,ok,52,129,26,
M93,93,Round of 16,2026-07-06,Portugal,Spain,0,1,Portugal 0-1 Spain,matched,12812990,ok,52,129,25,
M94,94,Round of 16,2026-07-06,USA,Belgium,1,4,USA 1-4 Belgium,matched,12813002,ok,51,129,22,
M95,95,Round of 16,2026-07-07,Argentina,Egypt,3,2,Argentina 3-2 Egypt,matched,12812993,ok,50,128,24,
M96,96,Round of 16,2026-07-07,Switzerland,Colombia,0,0,Switzerland 0-0 Colombia,matched,12812991,ok,49,201,32,
