match_id,match_no,event_id,stage,date,team_a,team_b,period,group,stat_key,stat_name,home_value,away_value
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Duels,dribblesPercentage,Dribbles,2/3 (67%),1/4 (25%)
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Defending,wonTacklePercent,Tackles won,50%,50%
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Defending,totalTackle,Total tackles,8,4
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Defending,interceptionWon,Interceptions,2,5
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Defending,ballRecovery,Recoveries,18,22
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Defending,totalClearance,Clearances,11,11
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Goalkeeping,goalkeeperSaves,Total saves,1,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Goalkeeping,goalKicks,Goal kicks,3,4
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Match overview,ballPossession,Ball possession,64%,36%
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Match overview,expectedGoals,Expected goals,0.77,0.02
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Match overview,bigChanceCreated,Big chances,1,0
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Match overview,totalShotsOnGoal,Total shots,6,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Match overview,goalkeeperSaves,Goalkeeper saves,1,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Match overview,cornerKicks,Corner kicks,1,0
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Match overview,fouls,Fouls,7,5
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Match overview,passes,Passes,254,141
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Match overview,totalTackle,Tackles,4,10
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Match overview,freeKicks,Free kicks,5,7
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Match overview,yellowCards,Yellow cards,0,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Match overview,redCards,Red cards,1,2
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Shots,totalShotsOnGoal,Total shots,6,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Shots,shotsOnGoal,Shots on target,2,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Shots,hitWoodwork,Hit woodwork,0,0
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Shots,shotsOffGoal,Shots off target,3,0
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Shots,blockedScoringAttempt,Blocked shots,1,0
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Shots,totalShotsInsideBox,Shots inside box,3,0
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Shots,totalShotsOutsideBox,Shots outside box,3,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Attack,bigChanceScored,Big chances scored,1,0
